Player,Presenze,Riusciti,%,score
Maximiliano Eduardo Meza,4,5,0.5,-0.1387185316900793
Raphaël Adelino José Guerreiro,4,8,0.7272727272727273,1.9258209192230034
William Silva de Carvalho,4,2,1.0,0.90936621241618
Nicolás Hernán Otamendi,4,1,1.0,0.9384615384615382
Bernardo Mota Veiga de Carvalho e Silva,4,9,0.9,5.4219916874681005
Gonçalo Manuel Ganchinho Guedes,4,0,0.0,-2.0
Cristiano Ronaldo dos Santos Aveiro,4,8,0.5714285714285714,-0.2538368151801791
Youri Tielemans,4,2,1.0,1.190470574360184
Jordi Alba Ramos,4,3,0.6,0.26801482979440494
Sergio Busquets i Burgos,4,3,1.0,2.023951182303585
Andrés Iniesta Luján,4,6,0.5454545454545454,0.0013837749839424873
David Josué Jiménez Silva,4,5,0.7142857142857143,0.5685567736429099
Francisco Román Alarcón Suárez,4,30,0.7317073170731707,9.905271359235156
Juan Fernando Quintero Paniagua,4,2,0.5,-0.7251154300440246
Edson Omar Álvarez Velázquez,4,6,0.75,1.4357017461901975
Roberto Firmino Barbosa de Oliveira,4,2,0.4,-1.658408531583265
Diego Sebastián Laxalt Suárez,4,2,1.0,1.4619694397283531
José María Giménez de Vargas,4,0,0.0,-1.0
Edinson Roberto Cavani Gómez,4,7,0.6363636363636364,2.477823587842904
Hiroki Sakai,4,2,0.5,-0.12307692307692353
Javier Hernández Balcázar,4,5,0.5,-2.153101286923151
Hirving Rodrigo Lozano Bahena,4,14,0.5833333333333334,0.05748544603358274
Carlos Alberto Vela Garrido,4,11,0.6470588235294118,1.565998169087353
Miguel Arturo Layún Prado,4,6,0.8571428571428571,3.7531310772540207
José Andrés Guardado Hernández,4,3,0.42857142857142855,-1.548918808649531
Héctor Miguel Herrera López,4,11,0.55,-2.5581578446035675
Jesús Daniel Gallardo Vasconcelos,4,5,0.7142857142857143,1.13064220493458
Carlos Joel Salcedo Hernández,4,2,1.0,1.0728335991493885
Aleksandr Golovin,4,5,0.8333333333333334,3.307965686244933
Yuto Nagatomo,4,2,0.6666666666666666,0.536842105263158
Vedran Ćorluka,4,3,1.0,1.7057768804719071
Makoto Hasebe,4,1,1.0,0.6935483870967741
Gaku Shibasaki,4,2,0.6666666666666666,-0.0029863855950813534
Takashi Inui,4,4,0.8,2.123444540380378
Yannick Ferreira Carrasco,4,7,0.7777777777777778,2.7578501781270437
Yūya Ōsako,4,4,1.0,2.4388536528071407
Jamie Vardy,4,0,0.0,-1.0
Carlos Henrique Casimiro,4,4,0.8,1.2581882902249035
Johan Andrés Mojica Palacio,4,9,0.5,-2.7783702432117763
Fabian Delph,4,3,0.375,-2.9463096417227366
Mousa Sidi Yaya Dembélé,4,1,1.0,0.3333333333333333
Marcelo Vieira da Silva Júnior,4,2,0.5,-0.9981785063752278
Santiago Arias Naranjo,4,1,0.5,-0.5714285714285714
Vahid Amiri,3,5,0.8333333333333334,3.2860592197229628
Mehdi Taremi,3,2,0.5,-0.5614035087719298
Steven Zuber,3,4,0.4444444444444444,-1.562953896368829
Sardar Azmoun,3,0,0.0,-3.0
Josip Drmic,3,0,0.0,-1.0
Haris Seferović,3,1,1.0,0.768421052631579
Gabriel Iván Mercado,3,0,0.0,-1.0
Ellyes Joris Skhiri,3,2,0.5,-1.165945165945166
Yuri Zhirkov,3,1,1.0,0.768421052631579
Marco Asensio Willemsen,3,3,0.6,-0.10071942446043147
Stephan Lichtsteiner,3,1,0.14285714285714285,-5.039370078740157
Gonzalo Gerardo Higuaín,3,0,0.0,-1.0
Keisuke Honda,3,1,0.5,-0.061538461538461764
Alireza Jahanbakhsh,3,5,0.8333333333333334,3.244666270263128
Daniel Carvajal Ramos,3,2,0.3333333333333333,-2.4453768453768454
Omid Ebrahimi,3,1,1.0,0.7192982456140351
Ehsan Hajsafi,3,2,0.5,-0.8852459016393444
Wahbi Khazri,3,0,0.0,-3.0
Ramin Rezaeian,3,1,1.0,0.6330935251798562
Shinji Okazaki,3,2,0.6666666666666666,0.5715550636413944
Adrien Sebastian Perruchet Silva,3,0,0.0,-1.0
Hakim Ziyech,3,5,0.29411764705882354,-9.041583435616012
Younès Belhanda,3,5,1.0,2.131853596511439
Faustino Marcos Alberto Rojo,3,1,1.0,0.4565217391304348
Nordin Amrabat,3,8,0.7272727272727273,2.151588069005837
Karim El Ahmadi Al Aroos,3,0,0.0,-2.0
Naïm Sliti,3,8,0.6666666666666666,1.7691497487782946
Achraf Hakimi Mouh,3,5,0.7142857142857143,1.4004557109426607
Anice Badri,3,5,0.8333333333333334,2.5881683854583333
Michy Batshuayi Tunga,3,4,0.8,2.7959550593144593
Rodrigo Moreno Machado,3,1,1.0,0.6330935251798562
Karim Ansarifard,3,1,0.3333333333333333,-1.3669064748201438
Mbark Boussoufa,3,0,0.0,-1.0
Victor Moses,3,4,0.6666666666666666,0.5803523251549083
Shinji Kagawa,3,6,0.8571428571428571,2.7480125006853444
Yussuf Yurary Poulsen,3,10,0.6666666666666666,1.6788945789210423
Odion Jude Ighalo,3,3,0.5,-0.40168279408481733
Andreas Evald Cornelius,3,3,0.75,1.879727507634484
Björn Bergmann Sigurðarson,3,1,1.0,0.6330935251798562
Lasse Schöne,3,1,1.0,0.6434782608695652
Nicolai Jørgensen,3,0,0.0,-1.0
Alfreð Finnbogason,3,1,0.5,-0.6268656716417911
Birkir Bjarnason,3,1,0.5,-0.30188679245283023
Gylfi Þór Sigurðsson,3,9,0.75,3.0710053927262275
Aron Einar Gunnarsson,3,2,0.6666666666666666,0.5546231546231544
Hörður Björgvin Magnússon,3,2,1.0,1.30465293668955
Birkir Már Sævarsson,3,1,0.5,-0.061538461538461764
Kelechi Promise Iheanacho,3,2,0.5,-0.594925634295713
Ahmed Musa,3,7,0.7,3.691779250671654
Brian Oladapo Idowu,3,0,0.0,-1.0
Oghenekaro Etebo,3,11,0.8461538461538461,3.972240026254849
Julian Brandt,3,1,0.3333333333333333,-0.8682170542635661
Milan Badelj,3,2,1.0,0.7266696818935624
Onyinye Wilfred Ndidi,3,2,0.6666666666666666,0.38290598290598266
Leon Aderemi Balogun,3,1,1.0,0.3731343283582089
Alex Iwobi,3,0,0.0,-2.0
Marko Pjaca,3,1,0.5,-0.6268656716417911
Genki Haraguchi,3,2,0.6666666666666666,0.2919968919968917
Enzo Nicolás Pérez,3,1,1.0,0.4444444444444445
Éver Maximiliano David Banega,3,3,0.42857142857142855,-1.9793281653746773
Ángel Fabián Di María Hernández,3,4,0.5,-0.08225580017051548
Gen Shōji,3,1,0.5,-0.4
William Troost-Ekong,3,3,1.0,1.9516214779372674
Jens Stryger Larsen,3,2,1.0,1.536842105263158
Daniel Arzani,3,2,0.6666666666666666,0.6024209660359617
Tomi Jurić,3,0,0.0,-1.0
Tom Rogić,3,8,0.8888888888888888,4.2182409071248985
Aaron Mooy,3,1,1.0,0.768421052631579
